"SJALL014946_D1"	"SJALL014947_D1"	"SJALL014949_D1"	"SJALL014950_D1"	"SJALL014952_D1"
"TBCEL"	27	9	30	34	20
"TECTA"	0	0	1	1	1
"RPS4XP12"	0	0	0	0	0
"SC5D"	33	184	120	60	35
"BMPR1AP2"	0	0	0	0	7
"SORL1"	167	213	279	340	183
"RNU6-256P"	0	0	0	0	0
"MIR100HG"	0	0	0	0	0
"MIR125B1"	0	0	0	0	0
"BLID"	0	0	0	0	0
"MIRLET7A2"	0	0	0	0	53
"MIR100"	0	0	0	0	0
"RNU4ATAC10P"	0	0	0	0	31
"RNU4ATAC5P"	0	0	0	0	0
"RNU6-592P"	0	0	0	0	0
"GLULP3"	0	0	14	5	0
"UBASH3B"	424	447	416	259	304
"CRTAM"	0	3	10	4	5
"JHY"	0	0	1	1	0
"RNU4-23P"	0	0	0	0	0
"ATP5PBP5"	0	0	29	16	10
"BSX"	0	0	0	1	0
"RPL34P23"	0	0	42	0	0
"RPS26P43"	239	518	200	0	47
"RPL31P47"	0	0	63	0	0
"HSPA8"	27102	15534	8752	14517	14902
"SNORD14E"	7667	5897	2344	3233	1584
"SNORD14D"	0	0	0	0	0
"SNORD14C"	0	0	0	0	0
"CLMP"	0	0	0	0	0
"GRAMD1B"	13	30	29	49	66
"MIR4493"	0	0	0	0	0
"SF3A3P2"	0	12	5	4	5
"SCN3B"	1	3	7	1	0
"ZNF202"	88	107	119	148	117
"OR6X1"	0	0	8	0	12
"RNU1-21P"	0	0	0	0	46
"OR6M1"	0	0	0	0	0
"OR6M2P"	0	0	0	0	4
"OR6M3P"	72	0	0	0	5
"TMEM225"	0	0	2	0	0
"OR8D4"	0	0	6	48	0
"OR4D5"	0	0	15	116	0
"OR6T1"	0	0	0	0	3
"OR10S1"	0	0	0	0	3
"OR10G6"	0	0	0	6	3
"OR10G5P"	0	0	21	17	0
"OR10G4"	2	0	2	17	0
"OR10G9"	0	0	0	6	0
"OR10G8"	0	0	0	3	0
"OR10G7"	0	1	0	0	0
"OR10D5P"	0	0	0	13	4
"OR10D4P"	0	0	0	0	4
"OR10N1P"	0	0	0	7	0
"VWA5A"	0	4	4	7	2
"OR10D1P"	0	0	0	0	0
"OR10D3"	0	0	1	0	0
"OR8F1P"	18	0	0	0	0
"OR8G3P"	0	0	0	0	0
"OR8G2P"	0	0	16	0	4
"OR8G7P"	0	0	7	0	0
"OR8G1"	2	0	2	0	0
"OR8G5"	0	0	1	0	0
"SLC5A4P1"	0	0	0	0	0
"OR8D1"	0	0	1	0	1
"OR8D2"	0	0	0	6	0
"OR8B7P"	18	0	0	0	0
"OR8B6P"	0	0	0	0	0
"OR8B5P"	0	0	0	0	0
"OR8B1P"	0	0	0	0	0
"OR8C1P"	0	9	0	6	0
"OR8B2"	0	4	0	5	0
"OR8B3"	0	0	0	0	3
"OR8X1P"	0	0	8	0	0
"OR8B4"	0	0	8	0	4
"OR8B8"	0	0	1	0	0
"OR8A2P"	0	0	0	6	0
"OR8B9P"	0	0	32	33	4
"OR8B10P"	0	0	0	0	0
"OR8A3P"	0	0	0	0	13
"OR8B12"	0	4	2	0	1
"OR8A1"	2	0	0	1	2
"OR8Q1P"	25	0	0	0	0
"PANX3"	0	0	0	0	0
"TBRG1"	521	507	777	680	506
"SIAE"	4	2	3	7	13
"RNA5SP352"	127	206	341	139	171
"SPA17"	6	1	2	5	13
"NRGN"	4	13	12	10	91
"VSIG2"	7	3	0	5	23
"ESAM"	12	27	13	190	274
"MSANTD2"	23	36	48	71	48
"ROBO3"	5	9	24	2	5
"ROBO4"	9	5	21	1	1
"HEPACAM"	0	0	0	0	1
"HEPN1"	0	0	10	0	10
"CCDC15-DT"	0	15	4	1	3
"CCDC15"	4	3	5	9	8
"SLC37A2"	24	1	11	0	4
"TMEM218"	79	8	44	51	40
"KRT18P59"	0	1	2	0	1
"PKNOX2"	0	0	0	0	0
"RNU6-321P"	0	0	0	0	0
"FEZ1"	0	0	1	0	0
"EI24"	333	290	105	254	146
"RNU6-1156P"	171	463	0	0	0
"STT3A"	347	281	125	202	154
"CHEK1"	109	135	38	55	97
"RNU2-35P"	240	585	214	218	296
"ACRV1"	1	0	2	1	0
"PATE1"	0	0	8	0	0
"PATE2"	12	3	2	4	12
"PATE3"	0	0	0	0	0
"PATE4"	0	1	2	4	1
"HYLS1"	99	45	35	16	37
"PUS3"	78	44	46	45	29
"DDX25"	4	4	0	0	4
"VSIG10L2"	0	1	0	0	0
"CDON"	0	7	2	0	1
"NAP1L1P1"	79	129	42	34	75
"RPUSD4"	607	475	527	559	620
"FAM118B"	14	4	11	13	11
"RNU4-86P"	0	0	0	0	17
"RN7SL351P"	68	37	0	24	15
"SRPRA"	2108	3439	2827	1605	2230
"FOXRED1"	182	131	162	214	201
"RPL35AP26"	0	86	47	0	23
"TIRAP"	22	21	49	49	34
"DCPS"	39	28	32	32	45
"GSEC"	8	0	6	3	7
"ST3GAL4"	10	19	7	4	10
"KIRREL3"	0	0	0	0	0
"KIRREL3-AS1"	0	0	0	0	0
"KIRREL3-AS2"	0	0	0	0	0
"MIR3167"	0	0	0	0	0
"KIRREL3-AS3"	0	0	0	0	0
"RN7SKP121"	0	0	0	0	25
"RN7SKP279"	0	0	0	0	0
"LINC02098"	0	0	0	0	0
"ETS1"	332	81	132	173	79
"MIR6090"	0	0	128	0	64
"ETS1-AS1"	0	0	3	2	0
"FLI1"	187	79	129	211	357
"SENCR"	73	44	39	59	166
"KCNJ1"	1	0	0	0	0
"KCNJ5"	2	0	2	0	7
"TP53AIP1"	0	0	27	16	16
"ARHGAP32"	10	1	42	41	30
"RNU6-876P"	0	0	220	779	147
"RNU6-874P"	0	0	72	59	36
"ZNF123P"	14	0	0	0	0
"BARX2"	0	0	0	0	0
"RPS27P20"	0	0	0	0	15
"TMEM45B"	0	0	0	0	0
"NFRKB"	279	271	226	152	238
"PRDM10"	32	48	55	28	34
"ELOBP2"	0	0	0	17	0
"APLP2"	523	91	188	111	111
"RPL34P21"	0	0	26	0	0
"ST14"	18	4	15	3	3
"ZBTB44"	192	139	172	266	186
"DDX18P5"	0	0	0	0	0
"RN7SL778P"	0	0	0	0	0
"ADAMTS8"	0	0	0	0	0
"ADAMTS15"	1	1	0	12	0
"BAK1P2"	0	0	0	0	0
"MIR8052"	0	0	0	0	0
"PPP1R10P1"	0	0	0	3	2
"LINC02551"	1	18	15	7	16
"SNX19"	227	199	385	285	321
"RN7SL167P"	0	0	0	0	0
"NTM"	0	0	0	0	0
"RNU6ATAC12P"	0	80	0	0	33
"NTM-AS1"	0	0	0	0	0
"NTM-IT"	0	0	0	0	0
"OPCML"	0	0	0	0	0
"OPCML-IT2"	0	0	0	0	0
"OPCML-IT1"	0	0	0	0	0
"SPATA19"	0	0	0	0	3
"IGSF9B"	0	0	1	1	1
"MIR4697"	0	0	0	0	0
"JAM3"	1	2	6	2	2
"PTP4A2P2"	0	0	30	0	68
"NCAPD3"	177	176	70	80	745
"VPS26B"	390	311	197	355	3809
"THYN1"	472	196	221	364	313
"ACAD8"	298	398	211	265	675
"GLB1L3"	0	0	1	11	20
"GLB1L2"	0	1	0	1	7
"B3GAT1"	0	1	1	2	184
"LINC02684"	0	0	0	0	0
"DDX11L8"	42	7	0	5	6
"WASH8P"	192	188	143	57	109
"FAM138D"	0	0	0	0	0
"IQSEC3"	0	0	1	0	0
"SLC6A12"	0	0	0	1	0
"SLC6A13"	1	5	1	1	0
"KDM5A"	367	859	468	291	334
"CCDC77"	16	19	19	18	25
"B4GALNT3"	6	0	1	0	2
"NINJ2"	2	0	2	2	1
"RNU7-103P"	0	0	0	0	64
"LINC02455"	0	0	1	0	0
"WNK1"	215	259	264	157	195
"RNU4ATAC16P"	1762	1981	909	345	942
"RAD52"	38	25	48	35	43
"ERC1"	22	22	47	21	23
"HTR1DP1"	0	0	0	9	12
"LINC00942"	0	21	52	7	2
"WNT5B"	0	0	0	0	0
"FBXL14"	79	150	41	55	132
"MIR3649"	0	0	0	189	58
"ADIPOR2"	120	79	122	53	65
"RPS4XP14"	21	70	29	7	38
"CACNA2D4"	89	22	6	1	31
"LRTM2"	1	2	0	0	14
"LINC00940"	0	2	0	0	5
"DCP1B"	10	8	9	18	13
"CACNA1C"	0	0	0	0	0
"CACNA1C-IT1"	0	0	0	2	1
"CACNA1C-AS4"	0	0	1	0	0
"CACNA1C-IT3"	0	0	0	0	0
"CACNA1C-AS3"	0	0	0	0	0
"CACNA1C-AS2"	4	0	10	19	22
"CACNA1C-AS1"	0	3	2	5	7
"LINC02371"	0	0	1	0	7
"IQSEC3P1"	0	0	28	57	149
"RPL23AP14"	0	0	0	0	0
"CBX3P4"	0	1	5	2	5
"FKBP4"	327	272	111	306	967
"ITFG2"	97	93	139	91	92
"NRIP2"	0	0	0	0	0
"TEX52"	2	3	1	0	0
"FOXM1"	226	224	34	70	322
"RHNO1"	107	62	94	142	126
"TULP3"	7	5	10	8	18
"RNU6-1315P"	0	0	0	0	38
"TEAD4"	0	1	0	0	14
"TSPAN9"	0	1	0	11	4
"TSPAN9-IT1"	0	0	0	25	13
"LINC02417"	0	0	2	0	0
"PRMT8"	0	0	0	0	0
"CRACR2A"	39	27	67	36	67
"RNU6-174P"	0	0	0	0	0
"PARP11"	7	16	35	28	31
"OTUD4P1"	0	23	32	44	23
"HSPA8P5"	65	26	14	38	53
"CCND2-AS1"	0	1	3	1	0
"CCND2"	97	1007	258	498	47
"TIGAR"	47	94	38	17	17
"FGF23"	5	3	1	0	2
"FGF6"	0	6	0	0	1
"C12orf4"	65	86	36	31	38
"RAD51AP1"	201	94	28	62	85
"DYRK4"	18	9	7	5	8
"AKAP3"	3	1	2	1	1
"NDUFA9"	91	117	44	39	39
"GAU1"	0	0	0	0	0
"GALNT8"	1	1	1	0	6
"KCNA6"	0	0	0	0	0
"KCNA1"	0	2	3	0	2
"KCNA5"	1747	2384	182	178	103
"LINC02443"	1	0	0	0	0
"NTF3"	0	0	0	0	0
"ANO2"	1	0	3	0	0
"VWF"	1	1	1	0	1
"RN7SL69P"	0	0	0	0	0
"CD9"	840	702	342	70	410
"ATP5MFP5"	0	35	0	0	0
"PLEKHG6"	0	3	0	0	1
"TNFRSF1A"	387	973	188	298	70
"RN7SL391P"	0	0	0	0	0
"SCNN1A"	5	5	1	1	2
"SRP14P1"	0	0	0	17	0
"CD27-AS1"	146	251	180	57	141
"CD27"	17	27	43	903	93
"TAPBPL"	205	53	246	214	155
"VAMP1"	847	2322	912	945	771
"MRPL51"	2392	976	577	1083	1011
"NCAPD2"	369	167	115	242	299
"SCARNA10"	309	0	0	0	0
"GAPDH"	83626	119883	14767	34377	26320
"IFFO1"	157	483	239	213	202
"NOP2"	81	893	129	40	68
"CHD4"	207	530	219	91	122
"SCARNA11"	3640	4145	1683	2057	1436
"LPAR5"	53	29	156	41	53
"ACRBP"	57	45	117	62	47
"ING4"	294	58	288	306	186
"ZNF384"	278	479	244	225	303
"PIANP"	2	2	0	0	5
"RNU6-781P"	0	733	151	0	0
"COPS7A"	314	89	158	166	171
"MLF2"	477	687	446	335	281
"PTMS"	199	153	52	152	29
"LAG3"	17	47	8	1	48
"RN7SL380P"	0	0	24	0	0
"CD4"	153	11	28	10	9
"GPR162"	111	3	9	79	0
"P3H3"	16	8	0	4	0
"GNB3"	9	0	1	1	2
"CDCA3"	229	146	83	170	264
"USP5"	786	495	373	562	667
"TPI1"	10915	4001	1782	4089	2502
"SPSB2"	21	20	16	16	23
"RPL13P5"	14	64	10	10	13
"LRRC23"	7	12	24	19	17
"ENO2"	20	77	157	62	252
"ATN1"	45	527	576	214	528
"C12orf57"	2554	5929	3859	2540	4915
"RNU7-1"	0	0	0	0	0
"PTPN6"	1708	1840	1537	383	1079
"MIR200CHG"	194	127	68	0	12
"MIR200C"	252	136	226	0	0
"MIR141"	0	195	0	0	40
"PHB2"	5392	5826	1579	2334	1759
"SCARNA12"	63	0	0	0	0
"EMG1"	649	691	472	376	447
"LPCAT3"	42	156	56	48	47
"C1S"	4	4	5	10	2
"C1R"	15	29	31	53	14
"C1RL"	45	41	121	174	42
"C1RL-AS1"	74	126	290	139	60
"RBP5"	0	2	1	1	3
"RNU6-485P"	0	0	0	0	35
"CLSTN3"	75	213	234	181	199
"PEX5"	119	89	42	56	44
"ACSM4"	1	0	0	0	0
"CD163L1"	7	1	1	0	0
"CD163"	13	5	6	2	2
"GAPDHP31"	0	0	0	0	0
"NIFKP3"	78	0	61	57	0
"APOBEC1"	2	0	0	0	0
"GDF3"	0	0	0	0	0
"DPPA3"	0	0	2	0	1
"CLEC4C"	9	0	0	0	0
"NANOGNB"	0	0	2	0	0
"NANOG"	0	0	3	1	2
"SLC2A14"	1	31	5	10	2
"NANOGP1"	0	0	1	0	0
"SLC2A3"	1292	1898	384	121	58
"HSPD1P12"	0	13	16	0	16
"FOXJ2"	75	304	127	111	98
"C3AR1"	24	4	39	7	9
"NECAP1"	1192	1078	686	538	374
"CLEC4A"	2	3	10	0	2
"POU5F1P3"	0	0	0	0	14
"GCSHP4"	0	0	0	0	0
"ZNF705A"	1	0	0	0	0
"FAM66C"	7	4	20	17	14
"DEFB109F"	0	0	1	0	1
"FAM90A1"	5	10	2	2	14
"ALG1L10P"	4	9	11	1	3
"FAM86FP"	1	4	3	7	19
"LINC02449"	21	24	9	5	5
"ENPP7P5"	0	0	0	0	0
"LINC00937"	0	1	0	0	0
"RPS3AP43"	0	11	19	7	0
"OR7E140P"	0	0	14	0	7
"OR7E148P"	0	0	0	0	0
"OR7E149P"	0	0	0	0	7
"CLEC6A"	0	0	0	0	0
"RNU6-275P"	0	0	0	0	0
"CLEC4D"	19	7	31	12	4
"SUPT4H1P2"	0	0	0	0	21
"CLEC4E"	15	68	121	247	14
"AICDA"	4	12	0	1	0
"HADHAP2"	5	8	9	13	1
"MFAP5"	28	3	0	1	1
"RIMKLB"	362	273	394	484	178
"RPSAP51"	52	284	329	134	53
"A2ML1-AS1"	0	0	0	0	0
"A2ML1-AS2"	0	0	0	0	0
"A2ML1"	0	0	0	0	0
"PHC1"	145	244	144	143	183
"M6PR"	1034	586	458	718	426
"KLRG1"	3	2	14	6	9
"HNRNPA1P34"	0	0	0	0	2
"VDAC2P2"	0	30	33	34	71
"LINC00612"	0	0	1	0	1
"A2M-AS1"	38	49	96	143	136
"A2M"	10	13	2	12	1
"KRT17P8"	39	0	342	150	361
"BTG1P1"	66	0	239	85	187
"PZP"	1	0	0	0	0
"TPT1P12"	0	0	0	0	15
"MIR1244-3"	403	1419	541	881	226
"PTMAP4"	1326	1382	1141	751	936
"LINC00987"	1	1	2	1	1
"LINC02367"	2	3	2	1	6
"DDX12P"	96	228	96	111	247
"KLRB1"	17	35	20	21	5
"RNU6-700P"	0	0	285	0	0
"GOT2P3"	0	0	29	28	32
"CLEC2D"	252	137	878	115	609
"LINC02390"	0	20	84	9	69
"CD69"	15233	19651	12191	13308	9194
"KLRF1"	19	1	3	3	4
"CLEC2B"	2875	2286	493	779	143
"KLRF2"	24	26	11	3	0
"CLEC2A"	0	0	0	0	0
"LINC02470"	7	62	4	1	2
"CLEC12A-AS1"	3	0	2	0	0
"CLEC12A"	35	2	7	5	1
"CLEC1B"	1	0	0	0	0
"CLEC12B"	22	0	4	1	0
"CLEC9A"	0	0	1	0	1
"CLEC1A"	0	0	0	0	0
"RN7SKP161"	0	0	0	0	0
"HNRNPABP1"	0	0	31	0	25
"CLEC7A"	17	12	75	2	10
"OLR1"	14	2	3	11	1
"TMEM52B"	2	0	1	0	0
"GABARAPL1"	413	522	213	295	63
"KLRD1"	1	5	6	6	6
"LINC02617"	0	0	0	0	1
"LINC02598"	26	3	2	9	1
"KLRK1"	54	1	2	0	0
"KLRC4-KLRK1"	0	2	1	1	0
"KLRC4"	21	3	3	2	0
"KLRC3"	0	3	7	0	3
"KLRC2"	0	1	1	0	1
"KLRC1"	0	5	3	9	4
"EIF2S3B"	14	106	6	8	4
"SLC25A39P2"	0	204	0	0	0
"LINC02446"	1	3	23	25	6
"KLRA1P"	67	19	53	40	31
"MAGOHB"	275	81	150	151	174
"STYK1"	35	4	6	3	0
"YBX3"	2978	6186	6258	7276	2462
"LINC02366"	0	0	0	0	0
"HSPE1P12"	0	0	0	0	12
"TAS2R7"	0	0	0	22	3
"TAS2R8"	0	0	0	29	18
"TAS2R9"	0	0	0	28	10
"PRH1"	2	2	1	3	1
"TAS2R10"	29	0	19	97	66
"PRR4"	18	0	6	22	18
"TAS2R13"	62	11	78	211	123
"PRH2"	0	0	0	1	0
"TAS2R14"	2	0	0	4	1
"TAS2R15P"	402	89	171	725	315
"TAS2R50"	67	18	136	383	156
"TAS2R20"	36	31	132	308	108
"TAS2R19"	558	137	257	857	341
"TAS2R31"	99	188	401	962	518
"TAS2R63P"	91	168	98	327	275
"TAS2R46"	200	335	203	392	257
"TAS2R64P"	439	1198	433	1459	546
"TAS2R43"	330	625	177	770	352
"TAS2R30"	532	832	660	761	789
"SMIM10L1"	973	605	575	1342	635
"TAS2R42"	17	9	0	0	0
"PRB3"	0	0	0	0	2
"PRB4"	0	0	0	0	0
"PRB1"	0	0	0	0	0
"PRB2"	0	0	0	0	0
"HIGD1AP8"	0	0	0	135	97
"DDX55P1"	23	51	16	174	182
"RNU7-60P"	0	0	0	0	124
"LINC01252"	12	7	3	10	18
"ETV6"	35	199	62	128	39
"BCL2L14"	0	0	0	0	0
"PTMAP9"	363	309	0	94	81
"MIR1244-4"	0	764	90	73	0
"LRP6"	1	56	60	81	53
"RNU6-545P"	0	0	0	0	0
"RNU6-318P"	0	0	0	0	0
"MANSC1"	2	1	3	1	2
"RPL23AP66"	0	0	15	0	0
"LOH12CR2"	50	5	40	22	22
"BORCS5"	12	23	21	9	13
"DUSP16"	84	16	34	14	26
"CREBL2"	61	21	61	61	51
"RPL21P136"	0	0	0	3	0
"GPR19"	6	2	1	2	1
"CDKN1B"	1164	669	467	323	359
"APOLD1"	19	46	35	5	31
"MIR613"	360	390	241	0	525
"STX8P1"	0	25	0	0	0
"DDX47"	321	255	369	315	301
"RPL13AP20"	0	377	149	182	175
"GPRC5A"	3	2	1	0	1
"MIR614"	0	0	0	0	0
"GPRC5D-AS1"	0	0	0	0	0
"GPRC5D"	0	0	0	0	0
"HEBP1"	44	22	14	10	15
"HTR7P1"	269	101	84	312	93
"FAM234B"	17	14	11	17	26
"GSG1"	0	0	2	1	0
"EMP1"	1273	468	157	49	23
"LINC01559"	0	0	0	0	0
"GRIN2B"	0	0	0	0	0
"RNA5SP353"	0	0	0	0	0
"RNU6-590P"	0	0	0	0	0
"RN7SKP162"	0	26	0	53	33
"MRPS18CP4"	0	0	0	0	33
"RNU6-491P"	0	84	0	0	0
"GNAI2P1"	0	0	0	0	0
"RPL30P11"	1	1	2	0	0
"ATF7IP"	211	213	398	280	185
"PLBD1"	10	1	13	7	4
"RN7SKP134"	189	0	56	92	42
"PLBD1-AS1"	0	0	2	0	3
"GUCY2C"	0	0	1	0	1
"WBP11"	1317	1849	1554	883	1561
"C12orf60"	0	0	0	0	2
"SMCO3"	1	1	0	0	1
"ART4"	12	5	1	2	8
"MGP"	20	27	21	11	7
"ERP27"	92	67	124	82	51
"ARHGDIB"	6507	2072	2746	4322	2640
"LINC01489"	3	0	0	0	2
"RERG"	0	0	0	0	0
"RERG-IT1"	0	0	3	0	0
"RERG-AS1"	0	0	0	0	0
"METTL8P1"	0	0	0	0	0
"PTPRO"	3	0	2	0	0
"EPS8"	2	2	3	1	1
"RNU6-251P"	0	0	0	0	0
"STRAP"	1236	1427	576	495	405
"DERA"	28	13	23	18	18
"EGLN3P1"	0	0	0	0	0
"SLC15A5"	0	0	0	0	0
"MGST1"	0	0	0	0	0
"SUPT16HP1"	81	61	41	31	31
"LMO3"	0	0	0	0	0
"EEF1A1P16"	23	71	5	21	16
"RNU6-837P"	0	0	70	0	35
"RPL7P40"	0	12	0	0	0
"PSMC1P8"	13	0	5	0	11
"TIMM17BP1"	0	0	0	0	0
"LINC02378"	0	0	0	0	0
"MIR3974"	0	0	0	0	0
"RERGL"	0	0	0	0	0
"PIK3C2G"	0	0	0	0	0
"NDFIP1P1"	0	0	0	0	7
"ZKSCAN7P1"	0	0	0	0	0
"PLCZ1"	0	0	0	0	0
"PSMC1P9"	0	13	5	4	2
"CAPZA3"	0	0	0	11	0
"RPL7P6"	91	248	113	50	61
"PLEKHA5"	20	38	23	22	17
"RN7SL459P"	0	0	0	0	0
"RN7SL67P"	0	217	385	104	154
"AEBP2"	13	36	20	19	13
"PDCD5P1"	55	0	0	0	12
"RNU6-254P"	0	0	0	0	0
"EEF1A1P4"	772	1391	431	567	422
"RNU1-146P"	0	0	0	0	23
"TCP1P3"	0	61	35	28	15
"LINC02398"	0	0	0	0	0
"LINC02468"	0	0	0	0	0
"PDE3A"	0	0	0	0	0
"UBE2L2"	0	0	0	0	0
"SLCO1C1"	0	0	0	0	0
"SLCO1B3"	0	0	0	0	0
"SLCO1B7"	0	0	0	0	0
"SLCO1B1"	0	0	0	0	0
"SLCO1A2"	0	0	0	0	0
"IAPP"	0	0	0	0	0
"PYROXD1"	214	87	109	57	45
"ELOCP31"	0	0	0	0	0
"RECQL"	350	135	107	208	133
"GOLT1B"	378	611	219	216	164
"SPX"	2	15	2	1	2
"GYS2"	0	0	0	0	0
"LDHB"	38	17	6	10	9
"KCNJ8"	1	0	0	0	0
"ABCC9"	0	0	0	0	0
"CMAS"	122	67	63	83	63
"ST8SIA1"	0	0	0	0	0
"SULT6B2P"	0	0	0	0	0
"RNU1-149P"	0	0	0	0	0
"C2CD5"	139	127	121	105	108
"LRRC34P1"	0	0	0	0	0
"ETNK1"	190	87	157	275	120
"RPS27P22"	0	344	63	0	0
"SOX5"	0	0	0	0	0
"MIR920"	0	0	0	0	0
"SOX5-AS1"	0	0	0	0	0
"LINC00477"	0	0	1	0	0
"KNOP1P1"	0	0	7	0	3
"RN7SL38P"	0	0	0	20	0
"BCAT1"	212	50	42	13	117
"CENPUP2"	14	15	0	0	0
"ETFRF1"	156	54	187	130	110
"KRAS"	573	1059	456	265	313
"RNU4-67P"	0	0	0	0	0
"LMNTD1"	0	0	0	0	0
"TUBB4BP1"	0	0	0	0	21
"RN7SKP262"	0	0	0	0	0
"TDGP1"	110	0	12	15	3
"MIR4302"	0	0	0	0	0
"RASSF8-AS1"	5	2	2	15	1
"RASSF8"	1	0	0	14	0
"BHLHE41"	16	3	10	9	3
"SSPN"	0	0	0	0	0
"ITPR2"	25	27	44	30	42
"RNA5SP354"	0	203	112	228	309
"INTS13"	158	164	65	70	62
"FGFR1OP2"	248	437	204	258	132
"TM7SF3"	152	53	99	162	146
"MED21"	162	207	186	188	145
"C12orf71"	0	0	0	0	0
"STK38L"	74	116	28	27	21
"SMCO2"	1	0	0	0	2
"PPFIBP1"	6	56	30	32	89
"REP15"	0	95	26	42	105
"HMGB1P49"	0	96	13	0	33
"MRPS35"	221	207	50	78	55
"MANSC4"	0	1	1	0	1
"KLHL42"	213	177	188	286	218
"RN7SKP15"	0	29	0	0	12
"PTHLH"	5	5	4	1	0
"CCDC91"	18	9	17	21	9
"RNU4-54P"	0	0	0	48	0
"RNA5SP355"	632	68	226	322	198
"FAR2"	27	4	10	19	7
"ERGIC2"	103	99	94	110	58
"OVCH1-AS1"	45	1	1	3	1
"OVCH1"	1	0	0	0	0
"TMTC1"	0	0	0	0	0
"RPL21P99"	0	0	0	0	0
"LINC02386"	0	0	0	0	0
"RNA5SP356"	0	0	0	0	0
"IPO8"	94	99	143	123	153
"CAPRIN2"	16	12	48	11	41
"LINC00941"	0	0	0	0	0
"PPIAP44"	65	35	0	0	0
"TSPAN11"	0	0	0	0	0
"DDX11-AS1"	1	0	0	4	2
"DDX11"	173	245	273	128	303
"MREGP1"	403	1310	180	0	45
"SINHCAF"	467	419	317	340	270
"LINC02387"	0	3	2	0	1
"DENND5B"	0	6	7	15	23
"RNU6-618P"	0	0	0	0	0
"DENND5B-AS1"	0	6	0	2	3
"RNU5F-4P"	0	0	0	0	0
"RPL31P50"	0	0	0	0	12
"AK4P3"	0	0	0	0	0
"ETFBKMT"	9	2	8	10	5
"AMN1"	16	15	22	16	18
"STMN1P1"	424	376	431	267	441
"RNU6-1069P"	0	0	0	140	172
"LINC02422"	3	0	2	8	6
"RPL12P32"	0	0	0	0	0
"RESF1"	649	1018	773	1092	420
"BICD1"	19	18	16	22	12
"FGD4"	1	1	2	4	3
"RNU6-494P"	0	0	0	0	0
"DNM1L"	439	754	262	243	239
"YARS2"	112	139	84	79	78
"PKP2"	0	0	0	0	0
"SYT10"	0	0	0	0	0
"RNU6-400P"	0	0	0	0	0
"RNU6-472P"	0	0	0	0	0
"ALG10"	236	154	177	314	216
"TUBB8P4"	0	0	0	0	1
"RNA5SP357"	0	77	0	0	0
"DUX4L27"	0	87	108	83	190
"AK6P1"	0	19	0	0	0
"ZNF970P"	0	0	0	0	0
"AK6P2"	0	0	0	26	8
"CLUHP8"	0	0	1	0	0
"RNA5SP358"	0	0	0	0	0
"RNA5SP359"	0	0	0	0	0
"TUBB8P5"	0	0	0	0	0
"NF1P12"	0	9	15	6	0
"ALG10B"	171	181	184	375	169
"CPNE8"	0	0	20	0	6
"CPNE8-AS1"	0	2	9	5	6
"LINC02406"	0	0	0	0	0
"KIF21A"	0	0	0	0	1
"ABCD2"	9	4	8	2	4
"C12orf40"	0	0	0	0	0
"SLC2A13"	5	3	1	0	1
"RPL30P13"	390	370	43	17	32
"LINC02555"	0	0	3	0	1
"LINC02471"	0	0	0	0	0
"LRRK2"	4	2	25	5	6
"MUC19"	2	4	0	2	0
"RNU6-713P"	0	0	0	0	0
"CNTN1"	0	0	0	0	0
"PDZRN4"	0	0	0	0	0
"RNA5SP360"	0	0	0	0	32
"MTND2P17"	0	0	0	0	0
"MTND1P24"	19	0	17	0	0
"LINC02400"	0	0	1	0	1
"GXYLT1"	76	25	35	20	22
"YAF2"	248	338	204	155	189
"PPHLN1"	69	78	46	34	34
"ZCRB1"	211	216	111	119	93
"MIR7851"	213	519	238	38	119
"RNU6-249P"	167	1090	225	122	75
"PRICKLE1"	0	1	2	0	0
"LINC02402"	0	0	0	0	0
"LINC02451"	0	0	0	0	0
"RPS27P21"	67	36	30	49	30
"LINC02450"	0	0	0	0	0
"MRPS36P5"	0	0	0	0	25
"LINC02461"	0	0	0	0	0
"ADAMTS20"	0	0	0	0	0
"EEF1A1P17"	26	0	11	9	8
"PUS7L"	128	73	108	145	93
"IRAK4"	164	68	183	155	129
"TWF1"	1620	1451	821	1061	902
"TMEM117"	0	0	0	0	1
"ZNF75BP"	0	0	0	4	0
"NELL2"	0	2	6	2	0
"DBX2"	0	0	0	0	0
"RNA5SP361"	144	0	0	0	0
"PLEKHA8P1"	2	0	3	5	3
"ANO6"	29	41	32	34	29
"ARID2"	145	267	183	129	119
"RN7SL246P"	229	1181	719	230	219
"KNOP1P2"	0	6	11	0	2
"SCAF11"	866	1128	899	627	542
"SLC38A1"	605	2228	1202	716	447
"SLC38A2"	11164	10713	7709	6309	2916
"OR7A19P"	138	25	72	92	62
"MARK3P1"	0	0	0	0	0
"SLC38A4"	0	0	0	0	0
"AMIGO2"	135	51	46	220	27
"PCED1B"	6	1	2	2	1
"MIR4698"	0	0	0	156	48
"PCED1B-AS1"	801	49	95	104	41
"PPIAP45"	0	0	0	25	16
"LINC02416"	0	0	0	0	0
"MIR4494"	0	0	0	0	0
"LINC02156"	0	0	0	0	0
"ADI1P3"	31	0	0	0	0
"RPAP3"	142	79	53	88	65
"ENDOU"	17	37	37	5	56
"RAPGEF3"	63	78	277	81	247
"SLC48A1"	41	35	84	34	43
"HDAC7"	411	695	493	568	286
"LINC02354"	0	2	0	0	0
